country;variable;percentile;year;value;age;pop
QG-MER;wwealh999i;p0p100;1995;3.34690761566162;999;i
QG-MER;wwealh999i;p0p100;1996;3.26103830337524;999;i
QG-MER;wwealh999i;p0p100;1997;3.32712817192078;999;i
QG-MER;wwealh999i;p0p100;1998;3.40722250938415;999;i
QG-MER;wwealh999i;p0p100;1999;3.49505949020386;999;i
QG-MER;wwealh999i;p0p100;2000;3.58469128608704;999;i
QG-MER;wwealh999i;p0p100;2001;3.67107796669006;999;i
QG-MER;wwealh999i;p0p100;2002;3.77270817756653;999;i
QG-MER;wwealh999i;p0p100;2003;4.00555324554443;999;i
QG-MER;wwealh999i;p0p100;2004;4.25114631652832;999;i
QG-MER;wwealh999i;p0p100;2005;4.50530004501343;999;i
QG-MER;wwealh999i;p0p100;2006;4.66239881515503;999;i
QG-MER;wwealh999i;p0p100;2007;4.85222673416138;999;i
QG-MER;wwealh999i;p0p100;2008;4.78116178512573;999;i
QG-MER;wwealh999i;p0p100;2009;4.42967748641968;999;i
QG-MER;wwealh999i;p0p100;2010;4.53667640686035;999;i
QG-MER;wwealh999i;p0p100;2011;4.49948406219482;999;i
QG-MER;wwealh999i;p0p100;2012;4.39474058151245;999;i
QG-MER;wwealh999i;p0p100;2013;4.41851091384888;999;i
QG-MER;wwealh999i;p0p100;2014;4.67770385742188;999;i
QG-MER;wwealh999i;p0p100;2015;5.12279033660889;999;i
QG-MER;wwealh999i;p0p100;2016;5.35104274749756;999;i
QG-MER;wwealh999i;p0p100;2017;5.55385780334473;999;i
QG-MER;wwealh999i;p0p100;2018;5.77859306335449;999;i
QG-MER;wwealh999i;p0p100;2019;5.75267124176025;999;i
QG-MER;wwealh999i;p0p100;2020;5.79638528823853;999;i
QG-MER;wwealh999i;p0p100;2021;5.83958959579468;999;i
QG-MER;mgdpro999i;p0p100;1950;154767986688.0;999;i
QG-MER;mgdpro999i;p0p100;1951;157852438528.0;999;i
QG-MER;mgdpro999i;p0p100;1952;160222750720.0;999;i
QG-MER;mgdpro999i;p0p100;1953;165306652672.0;999;i
QG-MER;mgdpro999i;p0p100;1954;177812805632.0;999;i
